id,pc_username,function_name,Date in date.month.year,Time
0,glal64,statistic,02-04-2025,11:35:57
1,glal64,statistic,02-04-2025,11:42:05
2,glal64,statistic,02-04-2025,11:47:31
3,glal64,statistic,02-04-2025,11:51:20
4,eag14,statistic,03-04-2025,21:15:50
5,eag14,statistic,03-04-2025,21:19:33
6,eag14,statistic,03-04-2025,21:23:14
7,eag14,map,03-04-2025,21:23:21
8,eag14,statistic,05-04-2025,21:38:30
9,eag14,map,05-04-2025,21:38:42
10,eag14,statistic,05-04-2025,21:39:59
11,eag14,map,05-04-2025,21:40:17
12,eag14,statistic,05-04-2025,21:42:19
13,eag14,map,05-04-2025,21:42:22
